,error_down,error_up,error_stay,mean_dist,total_params,file_name
157,0,0,0,132.03753583409767,"8,223",402060222
158,0,0,0,131.8071885911475,"8,223",402060222
159,0,0,1,131.77742484187962,"8,223",402060222
160,0,0,0,133.84832688877387,"2,983",402080111
161,0,0,0,134.49579591631792,"2,983",402080111
162,0,0,0,134.11447698751076,"2,983",402080111
163,0,0,0,135.20952188348713,"2,983",402080111
164,0,0,0,131.88392576004688,"11,523",402080222
165,0,0,0,130.93249625260376,"11,523",402080222
166,1,0,0,132.16340101656078,"11,523",402080222
167,0,0,1,131.96692978969355,"11,523",402080222
168,0,0,0,133.4050011913614,"2,763",404020111
169,0,0,0,134.15275033105962,"2,763",404020111
170,0,0,0,134.55204440134685,"2,763",404020111
171,0,0,0,132.62754564402496,"2,763",404020111
172,0,0,0,132.54945783681222,"6,463",404020222
173,0,0,0,130.41158218760864,"6,463",404020222
174,0,0,1,131.77202031197388,"6,463",404020222
175,0,0,1,130.9287828649679,"6,463",404020222
176,0,0,0,133.6984822947498,"3,643",404040111
177,0,0,0,132.41351417666368,"3,643",404040111
178,0,0,0,134.57915299164893,"3,643",404040111
179,0,0,0,134.26283188276398,"3,643",404040111
180,0,0,0,132.85862134102348,"8,563",404040222
181,0,1,0,130.32308735927953,"8,563",404040222
182,0,0,0,131.2486576783122,"8,563",404040222
183,0,0,0,131.24991216010864,"8,563",404040222
184,0,0,0,133.5185366865249,"4,523",404060111
185,0,0,0,133.6162766639598,"4,523",404060111
186,1,0,1,134.0526083133504,"4,523",404060111
187,0,1,0,132.66711215913472,"4,523",404060111
188,0,0,0,131.98730909062948,"11,463",404060222
189,0,0,0,131.71374851032945,"11,463",404060222
190,0,0,0,131.4128813305577,"11,463",404060222
191,0,0,0,132.06517585994544,"11,463",404060222
192,0,0,0,133.42679939103476,"5,403",404080111
193,0,0,0,134.97307651172014,"5,403",404080111
194,0,0,0,133.0544396262644,"5,403",404080111
195,0,0,0,133.83681373442278,"5,403",404080111
196,0,0,0,131.03368361800318,"15,163",404080222
197,0,0,0,131.2837774734558,"15,163",404080222
198,0,0,0,131.72309002848854,"15,163",404080222
199,0,0,0,131.7254599150255,"15,163",404080222
200,0,0,0,133.8374997530268,"3,983",406020111
201,0,0,0,133.04887477764873,"3,983",406020111
202,0,0,0,132.08354470954419,"3,983",406020111
203,0,0,0,132.9242902487125,"3,983",406020111
204,0,0,0,132.40208477979172,"9,703",406020222
205,1,0,0,131.63442261288634,"9,703",406020222
206,0,0,1,131.3663912786946,"9,703",406020222
207,0,0,0,132.06378061224154,"9,703",406020222
208,0,0,0,135.00662730788903,"5,263",406040111
209,0,0,0,133.5652259798144,"5,263",406040111
210,0,0,0,134.3176192589471,"5,263",406040111
211,0,0,0,134.3194566289788,"5,263",406040111
212,0,0,0,130.24344272273794,"12,203",406040222
213,0,0,1,131.4556406405173,"12,203",406040222
214,1,0,1,131.74592250868966,"12,203",406040222
215,0,1,0,130.2464656709874,"12,203",406040222
