,std_error_down,std_error_up,std_error_stay,std_mean_dist,sum_stds,mean_error_down,mean_error_up,mean_error_stay,mean_mean_dist,num_params,hyper_params
37,0.829156219959259,0.5,0.0,0.8908288478851318,0.8396727442741394,0.75,0.3333333432674408,0.0,0.9588410258293152,0.5779057145118713,402040222
38,0.0,0.0,0.0,0.49198195338249207,0.2115950584411621,0.0,0.0,0.0,0.9710646271705627,0.2527516782283783,402060111
39,0.4330126941204071,0.0,0.397359699010849,0.11898862570524216,0.36442533135414124,0.25,0.0,0.20000000298023224,0.9617677330970764,0.8303544521331787,402060222
40,0.0,0.0,0.0,0.430728942155838,0.185250923037529,0.0,0.0,0.0,0.9798873662948608,0.3012218475341797,402080111
41,0.4330126941204071,0.0,0.397359699010849,0.3997051417827606,0.4851578176021576,0.25,0.0,0.20000000298023224,0.9603478908538818,1.1635867357254028,402080222
42,0.0,0.0,0.0,0.6190424561500549,0.266242116689682,0.0,0.0,0.0,0.9745461940765381,0.27900636196136475,404020111
43,0.0,0.0,0.45883145928382874,0.6855320334434509,0.4756932854652405,0.0,0.0,0.4000000059604645,0.9580062031745911,0.6526305079460144,404020222
44,0.0,0.0,0.0,0.6959120631217957,0.29930275678634644,0.0,0.0,0.0,0.9749409556388855,0.3678683340549469,404040111
45,0.0,0.5,0.0,0.7674869894981384,0.4867111146450043,0.0,0.3333333432674408,0.0,0.9580398797988892,0.864687442779541,404040222
46,0.4330126941204071,0.5,0.397359699010849,0.42211347818374634,0.6514202952384949,0.25,0.3333333432674408,0.20000000298023224,0.972937285900116,0.45673027634620667,404060111
47,0.0,0.0,0.0,0.2154809981584549,0.09267558157444,0.0,0.0,0.0,0.9607715010643005,1.157528042793274,404060222
48,0.0,0.0,0.0,0.6050831079483032,0.260238379240036,0.0,0.0,0.0,0.975555419921875,0.5455922484397888,404080111
49,0.0,0.0,0.0,0.24917331337928772,0.10716620832681656,0.0,0.0,0.0,0.9581960439682007,1.5311521291732788,404080222
50,0.0,0.0,0.0,0.5229557156562805,0.2249164581298828,0.0,0.0,0.0,0.9693645238876343,0.4022013545036316,406020111
51,0.4330126941204071,0.0,0.397359699010849,0.3336969017982483,0.45676854252815247,0.25,0.0,0.20000000298023224,0.9612955451011658,0.9798040986061096,406020222
52,0.0,0.0,0.0,0.4288083612918854,0.18442490696907043,0.0,0.0,0.0,0.9790505170822144,0.5314550995826721,406040111
53,0.4330126941204071,0.5,0.45883145928382874,0.5766362547874451,0.7421085238456726,0.25,0.3333333432674408,0.4000000059604645,0.9544152617454529,1.232252836227417,406040222
54,0.0,0.0,0.0,0.8774927854537964,0.3773982524871826,0.0,0.0,0.0,0.9735280275344849,0.6607089042663574,406060111
55,0.0,0.0,0.0,0.4031260311603546,0.17337927222251892,0.0,0.0,0.0,0.9593098759651184,1.5654852390289307,406060222
56,0.4330126941204071,0.0,0.0,0.5312612652778625,0.38511350750923157,0.25,0.0,0.0,0.9750380516052246,0.789962649345398,406080111
57,0.0,0.0,0.397359699010849,0.377179890871048,0.31884509325027466,0.0,0.0,0.20000000298023224,0.9556109309196472,1.9795011281967163,406080222
58,0.0,0.0,0.397359699010849,0.5005421042442322,0.37190157175064087,0.0,0.0,0.20000000298023224,0.974175214767456,0.5253963470458984,408020111
59,0.4330126941204071,0.0,0.0,0.39904141426086426,0.32824742794036865,0.75,0.0,0.0,0.9626967310905457,1.3877612352371216,408020222
